Cruise	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	Pres_Z [dbar]	QV:SEADATANET	Atten_red [/m]	QV:SEADATANET	Atten_red2 [/m]	QV:SEADATANET	chl-a_water_ISfluor [mg/m^3]	QV:SEADATANET	WC_dissO2 [umol/l]	QV:SEADATANET	AqVolt [V]	QV:SEADATANET	STNephV [V]	QV:SEADATANET	BKBeck [%]	QV:SEADATANET	PotAtten [/m]	QV:SEADATANET	WC_Potemp [degC]	QV:SEADATANET	P_sal_CTD [Dmnless]	QV:SEADATANET	SigTheta [kg/m^3]	QV:SEADATANET	WC_temp_CTD [degC]	QV:SEADATANET
									  143.00	1	  0.362	1	  0.373	1	  0.25	1	248.6	1	 0.8199	1	  0.0321	1	 95.28	1	 0.3614	1	13.437	1	35.813	1	26.934	1	13.458	1
									  145.00	1	  0.360	1	  0.372	1	  0.15	1	249.2	1	 0.5307	1	  0.0299	1	 95.45	1	 0.3594	1	13.415	1	35.812	1	26.938	1	13.436	1
									  147.00	1	  0.359	1	  0.371	1	  0.11	1	248.8	1	 0.3444	1	  0.0302	1	 95.27	1	 0.3586	1	13.404	1	35.812	1	26.941	1	13.424	1
									  149.00	1	  0.358	1	  0.370	1	  0.17	1	249.1	1	 0.5848	1	  0.0311	1	 95.32	1	 0.3575	1	13.368	1	35.811	1	26.947	1	13.389	1
									  151.00	1	  0.357	1	  0.370	1	  0.17	1	248.7	1	 0.5270	1	  0.0293	1	 95.17	1	 0.3566	1	13.360	1	35.812	1	26.949	1	13.382	1
									  153.00	1	  0.357	1	  0.370	1	  0.28	1	247.8	1	 0.8834	1	  0.0291	1	 94.80	1	 0.3573	1	13.353	1	35.810	1	26.949	1	13.375	1
									  155.00	1	  0.357	1	  0.369	1	  0.24	1	248.3	1	 0.7944	1	  0.0273	1	 94.95	1	 0.3565	1	13.325	1	35.805	1	26.951	1	13.347	1
									  157.00	1	  0.357	1	  0.368	1	  0.14	1	248.4	1	 0.4754	1	  0.0269	1	 94.98	1	 0.3565	1	13.321	1	35.804	1	26.951	1	13.343	1
									  159.00	1	  0.356	1	  0.368	1	  0.20	1	248.3	1	 0.6792	1	  0.0297	1	 94.91	1	 0.3561	1	13.302	1	35.804	1	26.955	1	13.324	1
									  161.00	1	  0.356	1	  0.368	1	  0.18	1	247.8	1	 0.6327	1	  0.0272	1	 94.66	1	 0.3558	1	13.281	1	35.801	1	26.957	1	13.304	1
									  163.00	1	  0.356	1	  0.368	1	  0.24	1	247.6	1	 0.8004	1	  0.0269	1	 94.56	1	 0.3557	1	13.269	1	35.800	1	26.958	1	13.292	1
									  165.00	1	  0.355	1	  0.368	1	  0.18	1	248.2	1	 0.6260	1	  0.0275	1	 94.76	1	 0.3545	1	13.250	1	35.798	1	26.961	1	13.273	1
									  167.00	1	  0.355	1	  0.367	1	  0.20	1	248.1	1	 0.6770	1	  0.0269	1	 94.68	1	 0.3545	1	13.237	1	35.797	1	26.963	1	13.260	1
									  169.00	1	  0.354	1	  0.367	1	  0.17	1	247.8	1	 0.5874	1	  0.0269	1	 94.54	1	 0.3542	1	13.222	1	35.797	1	26.966	1	13.246	1
									  171.00	1	  0.354	1	  0.366	1	  0.20	1	248.2	1	 0.6733	1	  0.0267	1	 94.69	1	 0.3542	1	13.210	1	35.796	1	26.968	1	13.233	1
									  173.00	1	  0.355	1	  0.366	1	  0.23	1	247.6	1	 0.7491	1	  0.0276	1	 94.42	1	 0.3544	1	13.197	1	35.795	1	26.970	1	13.221	1
									  175.00	1	  0.354	1	  0.366	1	  0.14	1	247.4	1	 0.4470	1	  0.0276	1	 94.33	1	 0.3542	1	13.187	1	35.794	1	26.971	1	13.212	1
									  177.00	1	  0.354	1	  0.366	1	  0.24	1	247.6	1	 0.8062	1	  0.0267	1	 94.38	1	 0.3542	1	13.175	1	35.793	1	26.973	1	13.200	1
									  179.00	1	  0.354	1	  0.366	1	  0.08	1	247.6	1	 0.0845	1	  0.0267	1	 94.36	1	 0.3542	1	13.165	1	35.793	1	26.975	1	13.190	1
									  181.00	1	  0.354	1	  0.366	1	  0.15	1	247.4	1	 0.4939	1	  0.0267	1	 94.28	1	 0.3542	1	13.158	1	35.792	1	26.975	1	13.183	1
									  183.00	1	  0.354	1	  0.366	1	  0.21	1	247.1	1	 0.7135	1	  0.0270	1	 94.15	1	 0.3542	1	13.148	1	35.791	1	26.977	1	13.174	1
									  185.00	1	  0.354	1	  0.366	1	  0.10	1	246.9	1	 0.2573	1	  0.0272	1	 94.06	1	 0.3542	1	13.135	1	35.790	1	26.978	1	13.161	1
									  187.00	1	  0.354	1	  0.366	1	  0.20	1	247.4	1	 0.6596	1	  0.0264	1	 94.18	1	 0.3542	1	13.110	1	35.786	1	26.980	1	13.136	1
									  189.00	1	  0.355	1	  0.366	1	  0.13	1	247.3	1	 0.4414	1	  0.0269	1	 94.06	1	 0.3542	1	13.061	1	35.778	1	26.984	1	13.087	1
									  191.00	1	  0.354	1	  0.366	1	  0.16	1	247.4	1	 0.5673	1	  0.0269	1	 93.96	1	 0.3542	1	13.001	1	35.770	1	26.990	1	13.027	1
									  193.00	1	  0.354	1	  0.366	1	  0.11	1	247.3	1	 0.3533	1	  0.0269	1	 93.82	1	 0.3542	1	12.947	1	35.761	1	26.994	1	12.974	1
